Emoji,Yoruba
🙂❤️,inú mi dùn gan
😡🔥,inú mi bínú
🌧️☔,ó ń rọ̀ lónìí / ọjọ́ òjò
🌞🕛,ọ̀sán ń bọ̀
🍽️🍲,mo fẹ́ jẹun
😴🛏️,mo n sùn
😂🤣,ó ń rẹ́rìn-ín
❤️😘,mo nífẹ̀ẹ́ rẹ
😓⚠️,ó wà nínú ìṣòro
👶😭,ọmọ náà ń sunkún
🎉🥳,wọ́n ń ṣe ayẹyẹ
💧🥤,mo fẹ́ omi
🏠🚶,mo n lọ sí ilé
🚶👣,mo fẹ́ rìn
☀️😎,ọjọ́ ń dùn
🎶🎤,mo n kó orin
👨‍💼💻,ó n ṣiṣẹ́
⚽🏃,mo n ṣeré bọ́ọ̀lù
👍👌,kò sí ìṣòro
👭👫,wọ́n ń rìn papọ̀
💵💰,mo ní owo
👗🛍️,mo fẹ́ ra aṣọ
😢💔,mo ní ìbànújẹ
🏫📚,ó wà nílé ẹ̀kọ́
🌙💭,mo ní àlá
🛏️😴,mo fẹ́ lọ sún
🙏🙏,ẹ jọ̀ọ́
💃🕺,wọ́n ń jó
🍎😋,mo n jẹ apple
👥👥,ọ̀pọ̀ ènìyàn wà níhìn-ín
🌞👋,ẹ káàsán
🌅👋,ẹ káàrọ̀
🌙👋,ẹ káalẹ́
👨,bàbá
👩,ìyá
👶,ọmọ
📝,àkọ́wé
💰,owó
🤝,ọ̀rẹ́
🎂🎉,ọjọ́ ìbí
👕👗,àṣọ
📖,ìwé
🚗,ọkò
☀️,oorun
🌌,òru
🏠,ilé
🏫,ilé ìwé
🏥,ilé ìwòsàn
🍲🍛,òunje
💧,omi
🚌,bùsì
🚕,tàkísì
✈️,ọkọ̀ òfurufú
🚢,ọkọ̀ ojú omi
⛪,ṣọ́ọ̀ṣì
🕌,mòsálásí
🙏,oríṣà
😌,ṣùúrù
😊🎉,ayọ̀
😢,ìbànújẹ́
😂,ẹ̀rín
😨,ìbẹ̀rù
😭,ìbànújẹ́ púpọ̀
😡,ibínú
👻,ẹ̀mí
✨🙏,ọlọ́run
💭,àlá
🧳✈️,irin àjò
👞,bàtà
👖,ṣòkòtò
🍬,ṣùgọ̀
🍇,àjàrà
🍎,àpù
🍌,ògèdè
🌽,àgbàdo
🍖,ẹran
🐟,ẹja
🐦,ẹ̀yẹ
🐕,aja
👔,ògá
👩‍🏫,olùkọ́
👨‍🎓,akẹ́kọ̀ọ́
📱,alágbèéká
💻,tàbílé
📺,tẹlifíṣọ̀nù
🙋,orúkọ mi ni
🤔👋,báwo ni
